id,type,front_side,back_side,notes,box,due,last_seen,right,wrong,added,flag,exclude
1,vocab,het huis,"**the house**

_Ik woon in een groot huis._
I live in a big house.",het-word,,,,,,,,
2,vocab,de man,"**the man**

_De man leest een boek._
The man is reading a book.",de-word,,,,,,,,
3,vocab,de vrouw,"**the woman**

_De vrouw drinkt koffie._
The woman is drinking coffee.",de-word,,,,,,,,
4,vocab,het kind,"**the child**

_Het kind speelt buiten._
The child is playing outside.",het-word; plural: kinderen,,,,,,,,
5,vocab,de dag,"**the day**

_Fijne dag!_
Have a nice day!",de-word,,,,,,,,
6,vocab,de nacht,"**the night**

_Welterusten en goedenacht._
Good night.",de-word,,,,,,,,
7,vocab,het water,"**the water**

_Mag ik een glas water?_
May I have a glass of water?",het-word,,,,,,,,
8,vocab,het brood,"**the bread**

_Ik eet brood met kaas._
I eat bread with cheese.",het-word,,,,,,,,
9,vocab,de kaas,"**the cheese**

_Nederlandse kaas is lekker._
Dutch cheese is delicious.",de-word,,,,,,,,
10,vocab,de koffie,"**the coffee**

_Ik drink graag koffie._
I like to drink coffee.",de-word,,,,,,,,
11,vocab,de melk,"**the milk**

_De melk is op._
The milk is finished.",de-word,,,,,,,,
12,vocab,het geld,"**the money**

_Ik heb geen geld bij me._
I don't have money on me.",het-word,,,,,,,,
13,vocab,de tijd,"**the time**

_Ik heb geen tijd._
I don't have time.",de-word,,,,,,,,
14,vocab,het werk,"**the work / job**

_Ik ga naar mijn werk._
I'm going to work.",het-word,,,,,,,,
15,vocab,de school,"**the school**

_De kinderen gaan naar school._
The children go to school.",de-word,,,,,,,,
16,vocab,de stad,"**the city**

_Amsterdam is een mooie stad._
Amsterdam is a beautiful city.",de-word; plural: steden,,,,,,,,
17,vocab,het land,"**the country**

_Nederland is een klein land._
The Netherlands is a small country.",het-word,,,,,,,,
18,vocab,de straat,"**the street**

_Ik woon in deze straat._
I live on this street.",de-word,,,,,,,,
19,vocab,de auto,"**the car**

_Mijn auto is kapot._
My car is broken.",de-word,,,,,,,,
20,vocab,de fiets,"**the bicycle**

_Ik ga met de fiets._
I go by bike.",de-word,,,,,,,,
21,vocab,de trein,"**the train**

_De trein is te laat._
The train is late.",de-word,,,,,,,,
22,vocab,het boek,"**the book**

_Dit boek is interessant._
This book is interesting.",het-word,,,,,,,,
23,vocab,de vriend,"**the friend (m)**

_Hij is mijn beste vriend._
He is my best friend.",de-word; f: vriendin,,,,,,,,
24,vocab,de familie,"**the family**

_Mijn familie woont ver weg._
My family lives far away.",de-word,,,,,,,,
25,vocab,de moeder,"**the mother**

_Mijn moeder kookt lekker._
My mother cooks well.",de-word,,,,,,,,
26,vocab,de vader,"**the father**

_Mijn vader werkt hard._
My father works hard.",de-word,,,,,,,,
27,vocab,groot,"**big / large**

_Dat is een groot probleem._
That is a big problem.",adjective,,,,,,,,
28,vocab,klein,"**small**

_Ik heb een kleine vraag._
I have a small question.",adjective,,,,,,,,
29,vocab,goed,"**good**

_Alles is goed._
Everything is fine.",adjective/adverb,,,,,,,,
30,vocab,slecht,"**bad**

_Het weer is slecht._
The weather is bad.",adjective,,,,,,,,
31,vocab,mooi,"**beautiful / nice**

_Wat een mooie dag!_
What a beautiful day!",adjective,,,,,,,,
32,vocab,nieuw,"**new**

_Ik heb een nieuwe telefoon._
I have a new phone.",adjective,,,,,,,,
33,vocab,oud,"**old**

_Dit is een oud gebouw._
This is an old building.",adjective,,,,,,,,
34,vocab,lekker,"**tasty / nice**

_Het eten is erg lekker._
The food is very tasty.",common Dutch word,,,,,,,,
35,vocab,duur,"**expensive**

_Deze jas is te duur._
This coat is too expensive.",adjective,,,,,,,,
36,vocab,goedkoop,"**cheap**

_Dit is heel goedkoop._
This is very cheap.",adjective,,,,,,,,
37,vocab,snel,"**fast / quick**

_Hij loopt heel snel._
He walks very fast.",adjective/adverb,,,,,,,,
